STUDY_ID	SAMPLE_ID	MET	ESR1	ESR2	ING4
brca_metabric	MB-0000	0	0	0	0
brca_metabric	MB-0002	0	-1	-1	0
brca_metabric	MB-0005	2	0	1	0
brca_metabric	MB-0006	1	-1	1	0
brca_metabric	MB-0008	0	1	0	0
brca_metabric	MB-0010	0	0	0	-1
brca_metabric	MB-0014	0	0	0	0
brca_metabric	MB-0020	0	0	-2	0
brca_metabric	MB-0022	0	0	0	0
brca_metabric	MB-0025	1	1	0	0
brca_metabric	MB-0028	1	1	-1	0
brca_metabric	MB-0035	1	0	0	0
brca_metabric	MB-0036	0	0	0	0
brca_metabric	MB-0039	-1	0	0	0
brca_metabric	MB-0045	0	-1	-1	-1
brca_metabric	MB-0046	0	0	0	-1
brca_metabric	MB-0048	1	0	0	0
brca_metabric	MB-0050	0	0	0	0
brca_metabric	MB-0053	-1	0	0	0
brca_metabric	MB-0054	0	1	0	0
brca_metabric	MB-0056	0	1	0	-1
brca_metabric	MB-0059	0	0	0	0
brca_metabric	MB-0060	0	-1	-1	-1
brca_metabric	MB-0062	0	0	-1	2
brca_metabric	MB-0064	0	0	0	0
brca_metabric	MB-0066	0	0	-1	0
brca_metabric	MB-0068	0	-1	0	0
brca_metabric	MB-0071	0	0	0	0
brca_metabric	MB-0079	2	0	2	1
brca_metabric	MB-0081	0	0	0	0
brca_metabric	MB-0083	0	-1	0	0
brca_metabric	MB-0093	0	-1	0	-1
brca_metabric	MB-0095	2	0	0	0
brca_metabric	MB-0097	0	0	0	1
brca_metabric	MB-0099	0	0	0	0
brca_metabric	MB-0100	0	0	0	0
brca_metabric	MB-0101	0	-1	0	0
brca_metabric	MB-0102	0	0	0	0
brca_metabric	MB-0106	0	0	0	0
brca_metabric	MB-0107	0	0	0	0
brca_metabric	MB-0108	0	1	-1	-1
brca_metabric	MB-0109	1	-1	0	0
brca_metabric	MB-0110	0	0	0	0
brca_metabric	MB-0111	0	0	0	0
brca_metabric	MB-0112	0	-1	0	0
brca_metabric	MB-0113	0	0	-1	0
brca_metabric	MB-0114	0	0	0	0
brca_metabric	MB-0115	1	0	-1	0
brca_metabric	MB-0116	0	0	0	0
brca_metabric	MB-0117	0	0	0	0
brca_metabric	MB-0119	0	1	0	0
brca_metabric	MB-0120	-1	1	-1	0
brca_metabric	MB-0121	0	0	1	0
brca_metabric	MB-0122	0	0	0	0
brca_metabric	MB-0123	0	1	0	0
brca_metabric	MB-0124	1	-1	1	0
brca_metabric	MB-0125	0	0	0	0
brca_metabric	MB-0126	0	0	0	0
brca_metabric	MB-0127	-2	-2	0	0
brca_metabric	MB-0128	0	0	0	0
brca_metabric	MB-0129	0	0	1	0
brca_metabric	MB-0130	0	0	0	0
brca_metabric	MB-0131	0	0	0	0
brca_metabric	MB-0133	1	0	0	0
brca_metabric	MB-0134	0	0	0	-1
brca_metabric	MB-0135	0	0	0	0
brca_metabric	MB-0136	0	0	-1	0
brca_metabric	MB-0138	0	-1	0	-1
brca_metabric	MB-0139	0	0	0	0
brca_metabric	MB-0140	-1	-1	0	0
brca_metabric	MB-0142	-1	1	0	0
brca_metabric	MB-0143	0	0	0	0
brca_metabric	MB-0144	0	0	0	0
brca_metabric	MB-0145	0	0	0	0
brca_metabric	MB-0146	0	-1	-1	1
brca_metabric	MB-0147	0	0	0	0
brca_metabric	MB-0148	0	0	0	0
brca_metabric	MB-0149	2	1	-1	2
brca_metabric	MB-0150	0	0	-1	0
brca_metabric	MB-0151	0	-1	0	1
brca_metabric	MB-0152	1	0	0	0
brca_metabric	MB-0153	0	0	0	0
brca_metabric	MB-0154	1	0	0	0
brca_metabric	MB-0155	0	0	0	0
brca_metabric	MB-0156	0	0	0	0
brca_metabric	MB-0157	1	0	-1	1
brca_metabric	MB-0158	0	0	0	0
brca_metabric	MB-0159	0	0	0	0
brca_metabric	MB-0160	0	0	0	0
brca_metabric	MB-0162	0	0	0	0
brca_metabric	MB-0163	0	0	-1	0
brca_metabric	MB-0164	0	0	-1	0
brca_metabric	MB-0165	0	1	1	-1
brca_metabric	MB-0166	0	-1	-1	0
brca_metabric	MB-0167	0	0	0	0
brca_metabric	MB-0168	0	-1	0	-1
brca_metabric	MB-0169	0	0	0	0
brca_metabric	MB-0170	0	0	0	0
brca_metabric	MB-0171	0	0	0	0
brca_metabric	MB-0172	0	0	0	0
brca_metabric	MB-0173	0	0	0	-1
brca_metabric	MB-0174	0	0	-1	1
brca_metabric	MB-0175	0	0	0	0
brca_metabric	MB-0176	0	-1	-1	0
brca_metabric	MB-0177	0	0	0	0
brca_metabric	MB-0178	1	0	0	-1
brca_metabric	MB-0179	0	0	0	0
brca_metabric	MB-0180	1	-1	1	0
brca_metabric	MB-0181	0	1	0	0
brca_metabric	MB-0184	0	0	0	0
brca_metabric	MB-0185	0	1	0	0
brca_metabric	MB-0188	0	1	0	0
brca_metabric	MB-0189	0	-1	0	0
brca_metabric	MB-0191	0	0	0	2
brca_metabric	MB-0192	0	1	0	0
brca_metabric	MB-0193	0	-1	0	0
brca_metabric	MB-0194	0	0	0	0
brca_metabric	MB-0195	1	-1	-1	0
brca_metabric	MB-0197	0	0	-1	1
brca_metabric	MB-0198	0	0	0	0
brca_metabric	MB-0199	0	0	0	0
brca_metabric	MB-0200	1	0	0	2
brca_metabric	MB-0201	0	0	0	0
brca_metabric	MB-0202	0	0	-1	1
brca_metabric	MB-0203	0	0	0	0
brca_metabric	MB-0204	0	0	-1	-1
brca_metabric	MB-0205	0	-1	0	0
brca_metabric	MB-0206	1	0	-1	0
brca_metabric	MB-0207	0	0	0	0
brca_metabric	MB-0209	0	0	0	0
brca_metabric	MB-0210	0	0	0	0
brca_metabric	MB-0211	0	-1	0	0
brca_metabric	MB-0214	0	0	-1	1
brca_metabric	MB-0215	0	0	-1	0
brca_metabric	MB-0218	1	-1	1	1
brca_metabric	MB-0220	0	0	0	0
brca_metabric	MB-0221	-1	-1	0	0
brca_metabric	MB-0222	0	0	0	0
brca_metabric	MB-0223	0	0	0	0
brca_metabric	MB-0224	0	0	0	0
brca_metabric	MB-0225	0	-1	0	0
brca_metabric	MB-0226	0	0	-1	0
brca_metabric	MB-0227	0	0	0	0
brca_metabric	MB-0228	0	0	0	0
brca_metabric	MB-0229	0	-1	0	0
brca_metabric	MB-0230	0	0	0	0
brca_metabric	MB-0231	0	0	0	0
brca_metabric	MB-0232	0	0	0	0
brca_metabric	MB-0233	0	0	0	-1
brca_metabric	MB-0234	0	0	0	0
brca_metabric	MB-0235	0	0	1	1
brca_metabric	MB-0236	0	0	0	0
brca_metabric	MB-0238	1	-1	0	1
brca_metabric	MB-0239	0	0	-1	0
brca_metabric	MB-0241	0	0	0	0
brca_metabric	MB-0242	0	0	0	0
brca_metabric	MB-0243	0	0	0	0
brca_metabric	MB-0244	0	0	0	0
brca_metabric	MB-0245	0	-1	0	0
brca_metabric	MB-0247	0	0	0	0
brca_metabric	MB-0248	0	0	0	0
brca_metabric	MB-0249	0	0	-1	0
